syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
236,30,,z/i\r,n,n,n,y,y,y,,y,n,n,180,180,--,4,0401r,,,,,plaisir,sy
237,31,,L/A\,n,n,n,n,y,y,,n,y,n,181,181,--,1,0110-,,,,,la,sy
238,31,,/o\,n,n,n,n,y,n,,n,y,n,182,182,--,2,0209-,,,,,u,sy
239,31,,ʤ/ɔ\,n,n,n,n,y,y,,n,y,n,183,183,--,3,0308-,,,,,jo,sy
240,31,,S/y\i,n,n,n,n,y,y,,n,y,n,184,184,--,4,0407c,,,,,suid,sy
241,31,,/i\,n,n,n,n,n,n,,n,n,n,185,185,--,5,0506-,,,,,iversz,sy
242,31,,v/ɛ\rS,n,n,n,y,y,y,,y,n,n,185,185,--,6,0605-,,,,,iversz,sy
243,31,,n/i\,n,n,n,n,y,y,,n,y,n,187,"186, 187",--,7,0704-,,,,,n i,sy
244,31,,p/uE\T,n,n,n,n,y,y,,n,y,n,188,188,--,8,0803-,,,,,puet,sy
245,31,,d/y\,n,n,n,n,n,y,,n,n,n,189,189,--,9,0902-,,,,,durer,sy
246,31,,r/æ\r,n,n,n,y,y,y,,y,n,n,189,189,--,10,1001r,,,,,durer,sy
247,32,,t/o\Ç,n,n,n,n,y,y,,n,y,n,190,190,--,1,0110-,,,,,toz,sy
248,32,,t/E\NS,n,n,n,n,y,y,,n,y,n,191,191,--,2,0209-,,,,,tens,sy
249,32,,fL/o\,n,n,n,n,n,y,,n,n,n,192,192,--,3,0308-,,,,,florist,sy
